State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
NH,,HB310,,Relative to the use of open data formats and the adoption of a statewide policy regarding open government data standards.,House Retained Bill - Executive Session: 10/27/2011 10:00 Amendment Legislative Office Building 306 (If Necessary Continued 11/1/2011 10:30 Amendment Legislative Office Building 306) ,9/27/2011,Seth Cohn; Sean Cox; Joshua Davenport; George Lambert; Bruce MacMahon; Calvin Pratt,8,4,https://www.billtrack50.com/BillDetail/61040,billtrack50
NH,,HB310,,Relative to the use of open data formats and the adoption of a statewide policy regarding open government data standards.,House Inexpedient to Legislate: Motion Adopted Voice Vote; House Journal  7; PG.388 ,1/4/2012,Seth Cohn; Sean Cox; Joshua Davenport; George Lambert; Bruce MacMahon; Calvin Pratt,10,1,https://www.billtrack50.com/BillDetail/132475,billtrack50
NY,,A08831,,Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs.,referred to ways and means,1/4/2012,William Boyland; Ellen Jaffee; Dan Quart; David Weprin,1,1,https://www.billtrack50.com/BillDetail/131634,billtrack50
NY,,S00043,,Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs.,REFERRED TO INVESTIGATIONS AND GOVERNMENT OPERATIONS,1/4/2012,Ruth Hassell-Thompson; Daniel Squadron,2,3,https://www.billtrack50.com/BillDetail/72800,billtrack50
AZ,,HB2246,,University professors; textbook information; website,Referred to House HEIR Committee,1/19/2012,Tom Forese,5,1,https://www.billtrack50.com/BillDetail/204749,billtrack50
SC,,S1106,,Not yet available,Introduced; adopted; returned with concurrence,1/19/2012,John Knotts,2,1,https://www.billtrack50.com/BillDetail/152140,billtrack50
CA,,SB613,,Instructional materials: open-source.,Returned to Secretary of Senate pursuant to Joint Rule 56.,1/31/2012,Elaine Alquist,12,3,https://www.billtrack50.com/BillDetail/8523,billtrack50
OK,,SB1259,,Oklahoma Information Services Act; exempting J.D. McCarty Center for Children with Developmental Disabilities from definition. Emergency.,Second Reading referred to Appropriations,2/7/2012,John Sparks,3,1,https://www.billtrack50.com/BillDetail/152810,billtrack50
OK,,HB2940,,Technology; requiring transfer of certain assets and positions of the Oklahoma State Regents for Higher Education and OneNet.,Emergency removed,2/13/2012,David Derby,5,1,https://www.billtrack50.com/BillDetail/158453,billtrack50
UT,,SB0284,,Concurrent Enrollment Amendments,House/ substituted in HSUB,3/8/2012,Don Ipson; Stephen Urquhart,26,2,https://www.billtrack50.com/BillDetail/189949,billtrack50
NH,,HB418,,Relative to the use of open source software and open data formats by state agencies and relative to the adoption of a statewide information policy regarding open government data standards.,House Signed by the Governor 03/12/2012; Effective 05/11/2012; Chapter 0005 ,3/12/2012,Seth Cohn; Sean Cox; Joshua Davenport; George Lambert; Bruce MacMahon; Calvin Pratt,23,4,https://www.billtrack50.com/BillDetail/132516,billtrack50
OR,,HB4058,,Relating to higher education textbooks; and prescribing an effective date.,Chapter 95; (2012 Laws): Effective date July 1; 2012.,4/11/2012,,24,4,https://www.billtrack50.com/BillDetail/170383,billtrack50
WA,,HB2634,,Encouraging K-12 students to use online instructional programs during breaks within and between school years.,By resolution; reintroduced and retained in present status.,4/11/2012,Andy Billig; Marko Liias; Kristine Lytton; Marcie Maxwell; Tim Probst,3,1,https://www.billtrack50.com/BillDetail/159090,billtrack50
OK,,HB2197,,State government; creating the Strategic Cost Reduction and Saving Act; codification.,Approved by Governor 04/23/2012,4/23/2012,Josh Brecheen; Jason Murphey,24,3,https://www.billtrack50.com/BillDetail/149149,billtrack50
OK,,HB2939,,Technology; Chief Information Officers; providing for certain powers and duties related to procurement of information and telecommunication technology; prohibiting transfer of duties; providing for state employees participation in certain retirement program.,Approved by Governor 05/25/2012,5/25/2012,Rick Brinkley; David Derby,36,3,https://www.billtrack50.com/BillDetail/158455,billtrack50
OK,,HB3079,,State agency consolidation; effective date.,Approved by Governor 05/29/2012,5/25/2012,Kim David; Jason Murphey; Sue Tibbs,44,3,https://www.billtrack50.com/BillDetail/158073,billtrack50
NY,,A08682,,Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs.,held for consideration in ways and means,6/19/2012,Micah Kellner,3,1,https://www.billtrack50.com/BillDetail/130288,billtrack50
NH,,HB1593,,Relative to the department of information technology.,House Signed By Governor 06/18/2012; Effective 06/18/2012; Chapter 0265 ,6/22/2012,Seth Cohn; Sharon Carson,30,9,https://www.billtrack50.com/BillDetail/132150,billtrack50
NJ,,S2072,,Reorganizes and renames DHSS as Department of Health; establishes Division of Aging Services in DHS.,Substituted by A3104 (1R),6/28/2012,Thomas Kean; Joseph Vitale,4,3,https://www.billtrack50.com/BillDetail/284527,billtrack50
